word,type,
explicit,ADJECTIVE,
extensive,ADJECTIVE,
external,ADJECTIVE,
extra,ADJECTIVE,
extraordinary,ADJECTIVE,
extreme,ADJECTIVE,
factual,ADJECTIVE,
faint,ADJECTIVE,
fainter,ADJECTIVE,
faintest,ADJECTIVE,
fair,ADJECTIVE,
fairer,ADJECTIVE,
fairest,ADJECTIVE,
faithful,ADJECTIVE,
false,ADJECTIVE,
falser,ADJECTIVE,
falsest,ADJECTIVE,
familiar,ADJECTIVE,
famous,ADJECTIVE,
fantastic,ADJECTIVE,
far,ADJECTIVE,
fashionable,ADJECTIVE,
fast,ADJECTIVE,
faster,ADJECTIVE,
fastest,ADJECTIVE,
fat,ADJECTIVE,
fatal,ADJECTIVE,
fatter,ADJECTIVE,
favourable,ADJECTIVE,
favourite,ADJECTIVE,
feasible,ADJECTIVE,
federal,ADJECTIVE,
fellow,ADJECTIVE,
female,ADJECTIVE,
feminine,ADJECTIVE,
feminist,ADJECTIVE,
fierce,ADJECTIVE,
fiercer,ADJECTIVE,
fiercest,ADJECTIVE,
fifth,ADJECTIVE,
final,ADJECTIVE,
financial,ADJECTIVE,
fine,ADJECTIVE,
finer,ADJECTIVE,
finest,ADJECTIVE,
firm,ADJECTIVE,
firmer,ADJECTIVE,
firmest,ADJECTIVE,
first,ADJECTIVE,
firstmost,ADJECTIVE,
fiscal,ADJECTIVE,
fit,ADJECTIVE,
fitter,ADJECTIVE,
flat,ADJECTIVE,
flatter,ADJECTIVE,
flexible,ADJECTIVE,
fond,ADJECTIVE,
fonder,ADJECTIVE,
fondest,ADJECTIVE,
foolish,ADJECTIVE,
foreign,ADJECTIVE,
formal,ADJECTIVE,
former,ADJECTIVE,
formidable,ADJECTIVE,
forthcoming,ADJECTIVE,
fortunate,ADJECTIVE,
forward,ADJECTIVE,
forward,ADJECTIVE,
fourth,ADJECTIVE,
fragile,ADJECTIVE,
free,ADJECTIVE,
freer,ADJECTIVE,
freest,ADJECTIVE,
frequent,ADJECTIVE,
fresh,ADJECTIVE,
fresher,ADJECTIVE,
freshest,ADJECTIVE,
friendly,ADJECTIVE,
front,ADJECTIVE,
full,ADJECTIVE,
full-time,ADJECTIVE,
fuller,ADJECTIVE,
fullest,ADJECTIVE,
fun,ADJECTIVE,
functional,ADJECTIVE,
fundamental,ADJECTIVE,
funnier,ADJECTIVE,
funniest,ADJECTIVE,
funny,ADJECTIVE,
furious,ADJECTIVE,
further,ADJECTIVE,
furthest,ADJECTIVE,
future,ADJECTIVE,
gastric,ADJECTIVE,
gay,ADJECTIVE,
gayer,ADJECTIVE,
gayest,ADJECTIVE,
general,ADJECTIVE,
generous,ADJECTIVE,
genetic,ADJECTIVE,
gentle,ADJECTIVE,
genuine,ADJECTIVE,
geographical,ADJECTIVE,
geological,ADJECTIVE,
german,ADJECTIVE,
giant,ADJECTIVE,
glad,ADJECTIVE,
global,ADJECTIVE,
glorious,ADJECTIVE,
golden,ADJECTIVE,
good,ADJECTIVE,
gothic,ADJECTIVE,
gradual,ADJECTIVE,
grammatical,ADJECTIVE,
grand,ADJECTIVE,
grateful,ADJECTIVE,
grave,ADJECTIVE,
graver,ADJECTIVE,
gravest,ADJECTIVE,
great,ADJECTIVE,
greater,ADJECTIVE,
greatest,ADJECTIVE,
green,ADJECTIVE,
greener,ADJECTIVE,
greenest,ADJECTIVE,
grey,ADJECTIVE,
greyer,ADJECTIVE,
greyest,ADJECTIVE,
grim,ADJECTIVE,
grimmer,ADJECTIVE,
gross,ADJECTIVE,
guiltier,ADJECTIVE,
guiltiest,ADJECTIVE,
guilty,ADJECTIVE,
half,ADJECTIVE,
handier,ADJECTIVE,
handiest,ADJECTIVE,
handsome,ADJECTIVE,
handy,ADJECTIVE,
happy,ADJECTIVE,
hard,ADJECTIVE,
harder,ADJECTIVE,
hardest,ADJECTIVE,
harmful,ADJECTIVE,
harsh,ADJECTIVE,
harsher,ADJECTIVE,
harshest,ADJECTIVE,
head,ADJECTIVE,
healthier,ADJECTIVE,
healthiest,ADJECTIVE,
healthy,ADJECTIVE,
heavier,ADJECTIVE,
heaviest,ADJECTIVE,
heavy,ADJECTIVE,
helpful,ADJECTIVE,
helpless,ADJECTIVE,
high,ADJECTIVE,
higher,ADJECTIVE,
highest,ADJECTIVE,
historic,ADJECTIVE,
historical,ADJECTIVE,
holier,ADJECTIVE,
holiest,ADJECTIVE,
holy,ADJECTIVE,
homeless,ADJECTIVE,
honest,ADJECTIVE,
horizontal,ADJECTIVE,
horrible,ADJECTIVE,
hostile,ADJECTIVE,
hot,ADJECTIVE,
hotter,ADJECTIVE,
huge,ADJECTIVE,
huger,ADJECTIVE,
hugest,ADJECTIVE,
human,ADJECTIVE,
hungrier,ADJECTIVE,
hungriest,ADJECTIVE,
hungry,ADJECTIVE,
ideal,ADJECTIVE,
identical,ADJECTIVE,
ideological,ADJECTIVE,
ill,ADJECTIVE,
illegal,ADJECTIVE,
imaginative,ADJECTIVE,
immediate,ADJECTIVE,
immense,ADJECTIVE,
immenser,ADJECTIVE,
imminent,ADJECTIVE,
immune,ADJECTIVE,
imperial,ADJECTIVE,
implicit,ADJECTIVE,
important,ADJECTIVE,
impossible,ADJECTIVE,
impressive,ADJECTIVE,
inadequate,ADJECTIVE,
inappropriate,ADJECTIVE,
incapable,ADJECTIVE,
incredible,ADJECTIVE,
independent,ADJECTIVE,
indigenous,ADJECTIVE,
indirect,ADJECTIVE,
individual,ADJECTIVE,
indoor,ADJECTIVE,
industrial,ADJECTIVE,
inevitable,ADJECTIVE,
inferior,ADJECTIVE,
infinite,ADJECTIVE,
influential,ADJECTIVE,
informal,ADJECTIVE,
inherent,ADJECTIVE,
initial,ADJECTIVE,
inland,ADJECTIVE,
inner,ADJECTIVE,
innermost,ADJECTIVE,
innocent,ADJECTIVE,
innovative,ADJECTIVE,
instant,ADJECTIVE,
institutional,ADJECTIVE,
instrumental,ADJECTIVE,
insufficient,ADJECTIVE,
intact,ADJECTIVE,
integral,ADJECTIVE,
intellectual,ADJECTIVE,
intelligent,ADJECTIVE,
intense,ADJECTIVE,
intensive,ADJECTIVE,
interactive,ADJECTIVE,
interim,ADJECTIVE,
interior,ADJECTIVE,
intermediate,ADJECTIVE,
internal,ADJECTIVE,
international,ADJECTIVE,
intestinal,ADJECTIVE,
intimate,ADJECTIVE,
invaluable,ADJECTIVE,
invisible,ADJECTIVE,
irrelevant,ADJECTIVE,
irrespective,ADJECTIVE,
jealous,ADJECTIVE,
joint,ADJECTIVE,
judicial,ADJECTIVE,
junior,ADJECTIVE,
just,ADJECTIVE,
keen,ADJECTIVE,
key,ADJECTIVE,
kind,ADJECTIVE,
kinder,ADJECTIVE,
kindest,ADJECTIVE,
large,ADJECTIVE,
large-scale,ADJECTIVE,
larger,ADJECTIVE,
largest,ADJECTIVE,
last,ADJECTIVE,
late,ADJECTIVE,
later,ADJECTIVE,
latest,ADJECTIVE,
latter,ADJECTIVE,
lazier,ADJECTIVE,
laziest,ADJECTIVE,
lazy,ADJECTIVE,
left-wing,ADJECTIVE,
legal,ADJECTIVE,
legislative,ADJECTIVE,
legitimate,ADJECTIVE,
lengthier,ADJECTIVE,
lengthiest,ADJECTIVE,
lengthy,ADJECTIVE,
lesser,ADJECTIVE,
level,ADJECTIVE,
leveller,ADJECTIVE,
levellest,ADJECTIVE,
lexical,ADJECTIVE,
liable,ADJECTIVE,
liberal,ADJECTIVE,
light,ADJECTIVE,
lighter,ADJECTIVE,
lightest,ADJECTIVE,
like,ADJECTIVE,
likely,ADJECTIVE,
linear,ADJECTIVE,
linguistic,ADJECTIVE,
liquid,ADJECTIVE,
literary,ADJECTIVE,
little,ADJECTIVE,
live,ADJECTIVE,
livelier,ADJECTIVE,
liveliest,ADJECTIVE,
lively,ADJECTIVE,
local,ADJECTIVE,
logical,ADJECTIVE,
lone,ADJECTIVE,
lonelier,ADJECTIVE,
loneliest,ADJECTIVE,
lonely,ADJECTIVE,
long,ADJECTIVE,
long-term,ADJECTIVE,
longer,ADJECTIVE,
longer-term,ADJECTIVE,
longest,ADJECTIVE,
longest-term,ADJECTIVE,
loose,ADJECTIVE,
looser,ADJECTIVE,
loosest,ADJECTIVE,
loud,ADJECTIVE,
louder,ADJECTIVE,
loudest,ADJECTIVE,
lovelier,ADJECTIVE,
loveliest,ADJECTIVE,
lovely,ADJECTIVE,
low,ADJECTIVE,
lower,ADJECTIVE,
lowest,ADJECTIVE,
loyal,ADJECTIVE,
lucky,ADJECTIVE,
luxury,ADJECTIVE,
